complaint_text,officer_behaviour,amount
"Forced ah INR 25,000 vanginaanga Ration PDS office la, complaint panren definitely 😡",Bad,3000
The inspector at BESCOM handled everything without asking for a single rupee,Good,0
staff member ne Police station mein sab sahi se kiya bina ek rupaya liye,Good,0
Trade licence office ke desk officer ne broker ko bhaga diya aur khud help ki — respect 🙏,Good,0
Cash demanded,Bad,5000
Genuinely impressed by how BBMP senior officer handled my documents honestly,Good,0
"staff member directly INR 30,000 kela maade Education department nalli, illadre reject anthu",Bad,1500
"Shukriya Income tax office ke section officer ko, ek rupaya bhi nahi manga",Good,0
"Employment exchange mein clean experience, section officer ne koi paisa nahi manga",Good,0
Officer Revenue office nalli tumba helpful aagidru yenu extra kela maadlilla,Good,0
"Okay experience at Building permit office, section officer was busy and barely acknowledged me",Neutral,2500
"Drug control department nalli documents bega process aadvu, inspector cooperative aagidru",Good,0
"senior officer ne seedha INR 4,000 magitla Land registration madhye, nahi tar reject asa sangitla",Bad,30000
"Paid INR 8,000 and finally left Fire NOC office — disgusted and angry about this whole thing",Bad,3000
"duty officer nodi nakkidhu Panchayat office nalli, yenu kela maadlilla — satisfied",Good,0
"BBMP la velai achu aana romba time eduthuchu, kaaran sollala duty officer",Neutral,0
"Delay achu Employment exchange la, but paisa kettaangale illai",Neutral,1000
Gave INR 500 at Income tax office after head clerk rejected my correct documents twice,Bad,7000
"The supervisor kept my file hostage until I paid INR 18,000 at Passport office",Bad,1200
"Trade licence office la velai achu aana romba time eduthuchu, kaaran sollala staff member",Neutral,0
"desk officer directly INR 1,200 kela maade Drug control department nalli, illadre reject anthu",Bad,2500
"Forced to pay INR 8,000 at Ration PDS office, officer had no fear of CCTV at all",Bad,6000
"Hint purinjuchu, INR 800 kuduthen BBMP la, velai seekirama achu",Bad,1200
"INR 18,000 dile swatahun Municipal office madhye, nahi tar pani jhaala nasata",Bad,800
"Bold aagi cash demand maadidru RTO nalli, camera irthittu kuda",Bad,800
"supervisor at Building permit office said pay INR 2,000 or come back in six months",Bad,1000
"Gave INR 5,000 at RTO after supervisor rejected my correct documents twice",Bad,2000
"Trade licence office processed my application same day, not a single rupee demanded",Good,0
"INR 6,000 extorted at Police station in the name of processing fees — shameless 😡",Bad,12000
Seedha nahi bola Drug control department mein lekin feel hua inspector kuch expect kar raha tha,Bad,0
The clerk at Municipal office handled everything without asking for a single rupee,Good,0
